Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,30,28,28,7,93
Qualified ,16,10,4,1,31
Qualified (in %),53.33%,35.71%,14.29%,14.29%,33.33% Average
House Wise Participation V,8,5,14,2,29
House Wise Participation S,8,9,7,2,26
House Wise Participation N,7,8,2,1,18
House Wise Participation H,7,6,5,2,20
Qualified V,3,4,3,0,10
Qualified S,6,2,1,0,9
Qualified N,4,2,0,1,7
Qualified H,3,2,0,0,5
Maximum Distance,7.74,9.52,9.45,8.54,9.52
Total Points,26,20,14,5,65
Points  V,7,5,10,0,22
Points S,6,2,4,0,12
Points N,8,4,0,5,17
Points H,5,9,0,0,14
