Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,26,14,11,6,57
Qualified ,8,5,6,4,23
Qualified (in %),30.77%,35.71%,54.55%,66.67%,40.35% Average
House Wise Participation V,7,2,2,2,13
House Wise Participation S,5,7,3,0,15
House Wise Participation N,8,0,1,2,11
House Wise Participation H,6,5,5,2,18
Qualified V,1,0,1,2,4
Qualified S,2,1,2,0,5
Qualified N,3,0,1,1,5
Qualified H,2,4,2,1,9
Best Timing,32.58,30.42,26.52,25.89,25.89
Total Points,18,16,16,14,64
Points  V,4,0,5,7,16
Points S,4,2,5,0,11
Points N,7,0,3,3,13
Points H,3,14,3,4,24
