Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,8,8
Qualified ,,,,2,2
Qualified (in %),,,,25%,25% Average
House Wise Participation V,,,,3,3
House Wise Participation S,,,,2,2
House Wise Participation N,,,,2,2
House Wise Participation H,,,,1,1
Qualified V,,,,0,0
Qualified S,,,,1,1
Qualified N,,,,1,1
Qualified H,,,,0,0
Maximum Distance,,,,24.2,24.2
Total Points,,,,9,9
Points  V,,,,0,0
Points S,,,,5,5
Points N,,,,4,4
Points H,,,,0,0
