Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,38,27,19,25,109
Qualified ,20,12,6,6,44
Qualified (in %),52.63%,44.44%,31.58%,24%,40.37% Average
House Wise Participation V,11,12,2,8,33
House Wise Participation S,7,6,6,6,25
House Wise Participation N,13,4,3,5,25
House Wise Participation H,7,5,8,6,26
Qualified V,5,5,1,3,14
Qualified S,4,3,1,1,9
Qualified N,6,1,2,1,10
Qualified H,5,3,2,1,11
Maximum Distance,7.59,9.07,8.87,8.74,9.07
Total Points,31,23,16,16,86
Points  V,6,15,1,8,30
Points S,6,4,3,1,14
Points N,10,1,6,4,21
Points H,9,3,6,3,21
