Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,8,8
Qualified ,,,,2,2
Qualified (in %),,,,25%,25% Average
House Wise Participation V,,,,2,2
House Wise Participation S,,,,2,2
House Wise Participation N,,,,4,4
House Wise Participation H,,,,0,0
Qualified V,,,,1,1
Qualified S,,,,0,0
Qualified N,,,,1,1
Qualified H,,,,0,0
Maximum Distance,,,,27.85,27.85
Total Points,,,,9,9
Points  V,,,,4,4
Points S,,,,0,0
Points N,,,,5,5
Points H,,,,0,0
