Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,4,4
Qualified ,,,,3,3
Qualified (in %),,,,75%,75% Average
House Wise Participation V,,,,0,0
House Wise Participation S,,,,2,2
House Wise Participation N,,,,1,1
House Wise Participation H,,,,1,1
Qualified V,,,,0,0
Qualified S,,,,1,1
Qualified N,,,,1,1
Qualified H,,,,1,1
Maximum Distance,,,,31.1,31.1
Total Points,,,,12,12
Points  V,,,,0,0
Points S,,,,3,3
Points N,,,,5,5
Points H,,,,4,4
