Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,18,6,5,1,30
Qualified ,5,2,2,1,10
Qualified (in %),27.78%,33.33%,40%,100%,33.33% Average
House Wise Participation V,4,2,1,1,8
House Wise Participation S,7,0,1,0,8
House Wise Participation N,4,2,1,0,7
House Wise Participation H,3,2,2,0,7
Qualified V,0,1,0,1,2
Qualified S,1,0,0,0,1
Qualified N,2,0,1,0,3
Qualified H,2,1,1,0,4
Best Timing,33.17,27.16,28.6,28.39,27.16
Total Points,15,9,9,5,38
Points  V,0,5,0,5,10
Points S,2,0,0,0,2
Points N,5,0,5,0,10
Points H,8,4,4,0,16
