Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,19,19
Qualified ,,,,6,6
Qualified (in %),,,,31.58%,31.58% Average
House Wise Participation V,,,,2,2
House Wise Participation S,,,,8,8
House Wise Participation N,,,,4,4
House Wise Participation H,,,,5,5
Qualified V,,,,0,0
Qualified S,,,,3,3
Qualified N,,,,3,3
Qualified H,,,,2,2
Maximum Distance,,,,28.6,28.6
Total Points,,,,16,16
Points  V,,,,0,0
Points S,,,,1,1
Points N,,,,10,10
Points H,,,,5,5
