Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,3,3
Qualified ,,,,2,2
Qualified (in %),,,,66.67%,66.67% Average
House Wise Participation V,,,,1,1
House Wise Participation S,,,,0,0
House Wise Participation N,,,,1,1
House Wise Participation H,,,,1,1
Qualified V,,,,1,1
Qualified S,,,,0,0
Qualified N,,,,0,0
Qualified H,,,,1,1
Maximum Distance,,,,10.96,10.96
Total Points,,,,9,9
Points  V,,,,5,5
Points S,,,,0,0
Points N,,,,0,0
Points H,,,,4,4
