Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,11,24,64,15,114
Qualified ,4,5,28,7,44
Qualified (in %),36.36%,20.83%,43.75%,46.67%,38.6% Average
House Wise Participation V,4,3,19,4,30
House Wise Participation S,3,10,16,0,29
House Wise Participation N,1,1,10,6,18
House Wise Participation H,3,10,19,5,37
Qualified V,2,1,8,3,14
Qualified S,0,1,6,0,7
Qualified N,0,0,6,4,10
Qualified H,2,3,8,0,13
Best Timing,3.26,3,2.3,2.27,2.27
Total Points,14,15,38,17,84
Points  V,9,5,10,8,32
Points S,0,2,7,0,9
Points N,0,0,9,9,18
Points H,5,8,12,0,25
