Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,3,2,6,8,19
Qualified ,2,2,5,5,14
Qualified (in %),66.67%,100%,83.33%,62.5%,73.68% Average
House Wise Participation V,1,0,2,1,4
House Wise Participation S,1,0,1,0,2
House Wise Participation N,1,1,1,2,5
House Wise Participation H,0,1,2,5,8
Qualified V,1,0,1,0,2
Qualified S,0,0,1,0,1
Qualified N,1,1,1,1,4
Qualified H,0,1,2,4,7
Best Timing,6.32,5.46,5.2,5.16,5.16
Total Points,9,9,17,15,50
Points  V,5,0,5,0,10
Points S,0,0,2,0,2
Points N,4,5,2,3,14
Points H,0,4,8,12,24
