Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,21,16,7,4,48
Qualified ,11,3,2,2,18
Qualified (in %),52.38%,18.75%,28.57%,50%,37.5% Average
House Wise Participation V,3,1,4,1,9
House Wise Participation S,1,7,2,2,12
House Wise Participation N,8,5,0,1,14
House Wise Participation H,9,3,1,0,13
Qualified V,2,0,1,1,4
Qualified S,1,0,1,0,2
Qualified N,4,2,0,1,7
Qualified H,4,1,0,0,5
Best Timing,1.15,1.1,1.0411,1.04,1.04
Total Points,22,12,9,9,52
Points  V,4,0,5,4,13
Points S,1,0,4,0,5
Points N,7,9,0,5,21
Points H,10,3,0,0,13
