Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,9,5,6,0,20
Qualified ,5,1,5,0,11
Qualified (in %),55.56%,20%,83.33%,0%,55% Average
House Wise Participation V,1,1,2,0,4
House Wise Participation S,4,3,2,0,9
House Wise Participation N,3,0,1,0,4
House Wise Participation H,1,1,1,0,3
Qualified V,0,0,1,0,1
Qualified S,2,1,2,0,5
Qualified N,2,0,1,0,3
Qualified H,1,0,1,0,2
Best Timing,1.16,1.12,1.03,,1.03
Total Points,15,5,15,0,35
Points  V,0,0,2,0,2
Points S,6,5,6,0,17
Points N,5,0,4,0,9
Points H,4,0,3,0,7
