Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,10,6,8,2,26
Qualified ,4,0,4,1,9
Qualified (in %),40%,0%,50%,50%,34.62% Average
House Wise Participation V,2,0,3,0,5
House Wise Participation S,1,0,4,0,5
House Wise Participation N,4,1,1,2,8
House Wise Participation H,3,5,0,0,8
Qualified V,0,0,1,0,1
Qualified S,0,0,3,0,3
Qualified N,2,0,0,1,3
Qualified H,2,0,0,0,2
Best Timing,1.18,,1.03,1,1
Total Points,14,0,14,5,33
Points  V,0,0,4,0,4
Points S,0,0,10,0,10
Points N,7,0,0,5,12
Points H,7,0,0,0,7
