Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,20,31,90,44,185
Qualified ,13,19,67,36,135
Qualified (in %),65%,61.29%,74.44%,81.82%,72.97% Average
House Wise Participation V,7,5,21,14,47
House Wise Participation S,3,13,13,4,33
House Wise Participation N,5,6,30,13,54
House Wise Participation H,5,10,26,13,54
Qualified V,3,4,21,14,42
Qualified S,3,6,9,4,22
Qualified N,2,5,19,11,37
Qualified H,5,4,18,7,34
Maximum Distance,1.25,1.28,1.55,1.5,1.55
Total Points,23,29,77,46,175
Points  V,9,4,24,23,60
Points S,7,6,9,4,26
Points N,2,11,25,11,49
Points H,5,8,19,8,40
