Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,13,23,69,34,139
Qualified ,10,17,57,29,113
Qualified (in %),76.92%,73.91%,82.61%,85.29%,81.29% Average
House Wise Participation V,3,9,13,10,35
House Wise Participation S,3,2,14,5,24
House Wise Participation N,6,4,23,11,44
House Wise Participation H,1,8,19,8,36
Qualified V,2,9,9,9,29
Qualified S,2,0,9,5,16
Qualified N,5,2,19,9,35
Qualified H,1,6,10,6,23
Maximum Distance,1.2,1.2,1.47,1.65,1.65
Total Points,20,27,57,39,143
Points  V,6,16,12,13,47
Points S,2,0,10,6,18
Points N,11,3,21,14,49
Points H,1,8,14,6,29
