Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,27,18,20,8,73
Qualified ,18,13,14,5,50
Qualified (in %),66.67%,72.22%,70%,62.5%,68.49% Average
House Wise Participation V,9,2,3,2,16
House Wise Participation S,7,5,3,1,16
House Wise Participation N,6,4,8,2,20
House Wise Participation H,5,7,6,3,21
Qualified V,7,0,2,2,11
Qualified S,2,5,3,1,11
Qualified N,3,2,6,1,12
Qualified H,6,6,3,1,16
Maximum Distance,7.78,8.92,9.87,8.79,9.87
Total Points,28,23,24,15,90
Points  V,17,0,5,4,26
Points S,2,9,3,4,18
Points N,3,6,13,2,24
Points H,6,8,3,5,22
