Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,11,2,9,5,27
Qualified ,5,0,2,5,12
Qualified (in %),45.45%,0%,22.22%,100%,44.44% Average
House Wise Participation V,5,0,1,1,7
House Wise Participation S,1,1,3,2,7
House Wise Participation N,3,0,4,0,7
House Wise Participation H,2,1,1,2,6
Qualified V,3,0,1,1,5
Qualified S,0,0,1,2,3
Qualified N,2,0,0,0,2
Qualified H,0,0,0,2,2
Best Timing,33.62,,26.91,27.29,26.91
Total Points,15,0,9,15,39
Points  V,10,0,4,5,19
Points S,0,0,5,4,9
Points N,5,0,0,0,5
Points H,0,0,0,6,6
