Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,33,25,12,7,77
Qualified ,12,14,7,3,36
Qualified (in %),36.36%,56%,58.33%,42.86%,46.75% Average
House Wise Participation V,10,4,2,2,18
House Wise Participation S,5,7,2,1,15
House Wise Participation N,10,8,6,1,25
House Wise Participation H,8,6,2,3,19
Qualified V,3,1,2,2,8
Qualified S,5,6,1,0,12
Qualified N,3,4,3,0,10
Qualified H,1,3,1,1,6
Best Timing,14.69,14.22,11.91,12.41,11.91
Total Points,22,24,17,12,75
Points  V,7,5,6,8,26
Points S,5,8,6,0,19
Points N,9,6,4,0,19
Points H,1,5,1,4,11
