Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,22,14,13,8,57
Qualified ,11,4,6,4,25
Qualified (in %),50%,28.57%,46.15%,50%,43.86% Average
House Wise Participation V,5,4,1,1,11
House Wise Participation S,3,4,5,4,16
House Wise Participation N,5,3,3,2,13
House Wise Participation H,9,3,4,1,17
Qualified V,1,0,1,1,3
Qualified S,2,1,2,2,7
Qualified N,4,2,1,1,8
Qualified H,4,1,2,0,7
Maximum Distance,4.2,4.94,4.97,5.42,5.42
Total Points,21,14,16,14,65
Points  V,1,0,4,5,10
Points S,4,3,4,7,18
Points N,8,7,2,2,19
Points H,8,4,6,0,18
