Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,3,3
Qualified ,,,,1,1
Qualified (in %),,,,33.33%,33.33% Average
House Wise Participation V,,,,1,1
House Wise Participation S,,,,0,0
House Wise Participation N,,,,0,0
House Wise Participation H,,,,2,2
Qualified V,,,,0,0
Qualified S,,,,0,0
Qualified N,,,,0,0
Qualified H,,,,1,1
Best Timing,,,,11.23,11.23
Total Points,,,,5,5
Points  V,,,,0,0
Points S,,,,0,0
Points N,,,,0,0
Points H,,,,5,5
