Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,3,3,9,11,26
Qualified ,2,0,5,3,10
Qualified (in %),66.67%,0%,55.56%,27.27%,38.46% Average
House Wise Participation V,0,1,2,2,5
House Wise Participation S,1,0,0,2,3
House Wise Participation N,1,1,3,2,7
House Wise Participation H,1,1,4,5,11
Qualified V,0,0,1,0,1
Qualified S,1,0,0,0,1
Qualified N,1,0,0,0,1
Qualified H,0,0,3,3,6
Best Timing,6.34,,5.06,5.38,5.06
Total Points,9,0,15,12,36
Points  V,0,0,4,0,4
Points S,5,0,0,0,5
Points N,4,0,2,0,6
Points H,0,0,9,12,21
