Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,23,7,6,3,39
Qualified ,11,4,6,2,23
Qualified (in %),47.83%,57.14%,100%,66.67%,58.97% Average
House Wise Participation V,4,1,1,0,6
House Wise Participation S,6,2,1,1,10
House Wise Participation N,4,2,1,2,9
House Wise Participation H,9,2,3,0,14
Qualified V,1,0,1,0,2
Qualified S,2,1,1,0,4
Qualified N,2,1,1,2,6
Qualified H,6,2,3,0,11
Maximum Distance,4.03,5.14,5.37,4.94,5.37
Total Points,21,17,16,9,63
Points  V,5,0,3,0,8
Points S,3,2,5,0,10
Points N,2,8,1,9,20
Points H,11,7,7,0,25
