Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,26,33,85,38,182
Qualified ,12,15,46,30,103
Qualified (in %),46.15%,45.45%,54.12%,78.95%,56.59% Average
House Wise Participation V,6,7,29,9,51
House Wise Participation S,5,6,16,15,42
House Wise Participation N,10,10,24,7,51
House Wise Participation H,5,10,16,7,38
Qualified V,2,5,16,7,30
Qualified S,3,1,16,10,30
Qualified N,5,5,9,6,25
Qualified H,2,4,5,7,18
Maximum Height,1.3,1.51,1.6,1.55,1.6
Total Points,22,25,56,40,143
Points  V,3,9,19,10,41
Points S,7,1,11,13,32
Points N,10,9,21,10,50
Points H,2,6,5,7,20
