Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,1,1
Qualified ,,,,1,1
Qualified (in %),,,,100%,100% Average
House Wise Participation V,,,,0,0
House Wise Participation S,,,,0,0
House Wise Participation N,,,,0,0
House Wise Participation H,,,,1,1
Qualified V,,,,0,0
Qualified S,,,,0,0
Qualified N,,,,0,0
Qualified H,,,,1,1
Maximum Distance,,,,10.43,10.43
Total Points,,,,5,5
Points  V,,,,0,0
Points S,,,,0,0
Points N,,,,0,0
Points H,,,,5,5
