Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,10,17,54,28,109
Qualified ,3,5,20,4,32
Qualified (in %),30%,29.41%,37.04%,14.29%,29.36% Average
House Wise Participation V,1,5,18,5,29
House Wise Participation S,1,2,7,10,20
House Wise Participation N,7,8,15,6,36
House Wise Participation H,1,2,14,7,24
Qualified V,0,2,5,2,9
Qualified S,1,0,3,3,7
Qualified N,1,3,9,5,18
Qualified H,1,0,3,0,4
Best Timing,3.24,2.48,2.27,2.31,2.27
Total Points,12,15,30,14,71
Points  V,0,7,8,6,21
Points S,5,0,3,3,11
Points N,3,8,12,5,28
Points H,4,0,7,0,11
