Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,22,22
Qualified ,,,,3,3
Qualified (in %),,,,13.64%,13.64% Average
House Wise Participation V,,,,6,6
House Wise Participation S,,,,4,4
House Wise Participation N,,,,6,6
House Wise Participation H,,,,6,6
Qualified V,,,,1,1
Qualified S,,,,0,0
Qualified N,,,,2,2
Qualified H,,,,0,0
Best Timing,,,,11.39,11.39
Total Points,,,,12,12
Points  V,,,,4,4
Points S,,,,0,0
Points N,,,,8,8
Points H,,,,0,0
