Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,31,25,28,37,121
Qualified ,8,6,7,2,23
Qualified (in %),25.81%,24%,25%,5.41%,19.01% Average
House Wise Participation V,14,12,6,7,39
House Wise Participation S,9,3,7,11,30
House Wise Participation N,2,2,4,11,19
House Wise Participation H,5,8,11,8,32
Qualified V,2,3,0,0,5
Qualified S,2,0,2,1,5
Qualified N,1,1,2,1,5
Qualified H,2,2,3,0,7
Best Timing,14.26,12.74,12.29,12.4,12.29
Total Points,18,16,17,9,60
Points  V,4,9,0,0,13
Points S,4,0,5,4,13
Points N,1,1,6,5,13
Points H,9,6,6,0,21
