Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,3,11,7,21
Qualified ,,2,8,4,14
Qualified (in %),,66.67%,72.73%,57.14%,66.67% Average
House Wise Participation V,,2,2,4,8
House Wise Participation S,,0,1,1,2
House Wise Participation N,,0,5,0,5
House Wise Participation H,,1,3,2,6
Qualified V,,1,2,3,6
Qualified S,,0,1,0,1
Qualified N,,0,4,0,4
Qualified H,,1,1,1,3
Best Timing,,6.05,5.22,5.4,5.22
Total Points,,9,18,14,41
Points  V,,4,2,9,15
Points S,,0,1,0,1
Points N,,0,12,0,12
Points H,,5,3,5,13
