Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,3,3
Qualified ,,,,0,0
Qualified (in %),,,,0,0% Average 
House Wise Participation V,,,,0,0
House Wise Participation S,,,,2,2
House Wise Participation N,,,,0,0
House Wise Participation H,,,,1,1
Qualified V,,,,0,0
Qualified S,,,,0,0
Qualified N,,,,0,0
Qualified H,,,,0,0
Best Timing,,,,,
Total Points,,,,0,0
Points  V,,,,0,0
Points S,,,,0,0
Points N,,,,0,0
Points H,,,,0,0
