Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,5,4,27,16,52
Qualified ,1,2,14,5,22
Qualified (in %),20%,50%,51.85%,31.25%,42.31% Average
House Wise Participation V,2,0,3,4,9
House Wise Participation S,2,0,6,3,11
House Wise Participation N,0,2,10,6,18
House Wise Participation H,1,2,8,3,14
Qualified V,0,0,1,2,3
Qualified S,1,0,2,0,3
Qualified N,0,1,5,3,9
Qualified H,0,1,6,0,7
Best Timing,5.08,6.33,5.13,4.57,4.57
Total Points,5,9,27,15,56
Points  V,0,0,6,8,14
Points S,5,0,3,0,8
Points N,0,4,8,7,19
Points H,0,5,10,0,15
