Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,4,6,1,11
Qualified ,,4,2,1,7
Qualified (in %),,100%,33.33%,100%,63.64% Average
House Wise Participation V,,1,2,0,3
House Wise Participation S,,1,3,1,5
House Wise Participation N,,0,0,0,0
House Wise Participation H,,2,1,0,3
Qualified V,,1,1,0,2
Qualified S,,1,0,1,2
Qualified N,,0,0,0,0
Qualified H,,2,1,0,3
Maximum Distance,,24.65,24,23.5,24.65
Total Points,,14,9,5,28
Points  V,,2,4,0,6
Points S,,5,0,5,10
Points N,,0,0,0,0
Points H,,7,5,0,12
