Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,15,10,6,31
Qualified ,,4,0,1,5
Qualified (in %),,26.67%,0%,16.67%,16.13% Average
House Wise Participation V,,2,2,0,4
House Wise Participation S,,4,2,2,8
House Wise Participation N,,1,4,3,8
House Wise Participation H,,8,2,1,11
Qualified V,,1,0,0,1
Qualified S,,1,0,0,1
Qualified N,,0,0,1,1
Qualified H,,2,0,0,2
Maximum Distance,,24.43,,23.12,24.43
Total Points,,13,0,5,18
Points  V,,5,0,0,5
Points S,,4,0,0,4
Points N,,0,0,5,5
Points H,,4,0,0,4
