Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,16,9,7,4,36
Qualified ,5,1,5,2,13
Qualified (in %),31.25%,11.11%,71.43%,50%,36.11% Average
House Wise Participation V,5,1,1,2,9
House Wise Participation S,3,3,0,0,6
House Wise Participation N,2,2,2,0,6
House Wise Participation H,5,3,4,2,14
Qualified V,1,0,1,2,4
Qualified S,1,0,0,0,1
Qualified N,0,0,2,0,2
Qualified H,3,1,2,0,6
Best Timing,1.06,1.14,1.02,1.03,1.02
Total Points,15,5,15,9,44
Points  V,3,0,5,9,17
Points S,5,0,0,0,5
Points N,0,0,5,0,5
Points H,7,5,5,0,17
