Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,7,15,62,15,99
Qualified ,3,3,14,3,23
Qualified (in %),42.86%,20%,22.58%,20%,23.23% Average
House Wise Participation V,1,2,16,6,25
House Wise Participation S,0,2,14,1,17
House Wise Participation N,2,6,19,6,33
House Wise Participation H,4,5,13,2,24
Qualified V,0,1,3,3,7
Qualified S,0,1,3,0,4
Qualified N,1,1,6,1,9
Qualified H,2,0,2,0,4
Best Timing,3.01,2.42,2.36,2.39,2.36
Total Points,12,12,24,12,60
Points  V,0,3,3,9,15
Points S,0,4,3,0,7
Points N,4,5,16,3,28
Points H,8,0,2,0,10
