Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,21,14,11,18,64
Qualified ,4,3,1,3,11
Qualified (in %),19.05%,21.43%,9.09%,16.67%,17.19% Average
House Wise Participation V,6,2,2,4,14
House Wise Participation S,3,6,5,6,20
House Wise Participation N,6,2,2,1,11
House Wise Participation H,6,4,2,7,19
Qualified V,1,0,0,1,2
Qualified S,1,1,0,2,4
Qualified N,0,1,1,0,2
Qualified H,2,1,0,0,3
Best Timing,29.45,28.74,29.45,27.55,27.55
Total Points,14,12,5,12,43
Points  V,5,0,0,4,9
Points S,3,5,0,8,16
Points N,0,4,5,0,9
Points H,6,3,0,0,9
