Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,15,19,3,37
Qualified ,,0,3,0,3
Qualified (in %),,0%,15.79%,0%,8.11% Average
House Wise Participation V,,2,5,0,7
House Wise Participation S,,7,7,0,14
House Wise Participation N,,1,1,2,4
House Wise Participation H,,5,6,1,12
Qualified V,,0,1,0,1
Qualified S,,0,2,0,2
Qualified N,,0,0,0,0
Qualified H,,0,0,0,0
Maximum Distance,,,23.8,,23.8
Total Points,,0,12,0,12
Points  V,,0,5,0,5
Points S,,0,7,0,7
Points N,,0,0,0,0
Points H,,0,0,0,0
