Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,23,18,22,11,74
Qualified ,8,8,6,3,25
Qualified (in %),34.78%,44.44%,27.27%,27.27%,33.78% Average
House Wise Participation V,3,6,4,1,14
House Wise Participation S,4,2,3,4,13
House Wise Participation N,7,3,6,6,22
House Wise Participation H,9,7,9,0,25
Qualified V,1,1,1,0,3
Qualified S,0,2,1,2,5
Qualified N,2,2,2,1,7
Qualified H,5,3,3,0,11
Best Timing,14.29,13.45,12.5,12.13,12.13
Total Points,17,18,16,12,63
Points  V,4,1,5,0,10
Points S,0,5,1,8,14
Points N,2,8,4,4,18
Points H,11,4,6,0,21
