Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,36,5,8,5,54
Qualified ,11,4,5,5,25
Qualified (in %),30.56%,80%,62.5%,100%,46.3% Average
House Wise Participation V,8,0,2,0,10
House Wise Participation S,12,3,3,3,21
House Wise Participation N,5,0,2,1,8
House Wise Participation H,11,2,1,1,15
Qualified V,1,0,2,0,3
Qualified S,4,2,2,3,11
Qualified N,2,0,1,1,4
Qualified H,5,2,0,1,8
Maximum Distance,4.49,4.72,5.5,5.64,5.64
Total Points,22,14,15,16,67
Points  V,1,0,9,0,10
Points S,7,7,3,9,26
Points N,6,0,3,5,14
Points H,8,7,0,2,17
