Index,U - 13,U - 14,U - 16,OPENS,OVERALL TOTAL
Total participation,,,,3,3
Qualified ,,,,1,1
Qualified (in %),,,,33.33%,33.33% Average
House Wise Participation V,,,,1,1
House Wise Participation S,,,,0,0
House Wise Participation N,,,,1,1
House Wise Participation H,,,,1,1
Qualified V,,,,0,0
Qualified S,,,,0,0
Qualified N,,,,1,1
Qualified H,,,,0,0
Maxium Distance,,,,11.2,11.2
Total Points,,,,5,5
Points  V,,,,0,0
Points S,,,,0,0
Points N,,,,5,5
Points H,,,,0,0
